c2,c0,729,129,229,ff9a,type
248048,12619605,7908108,5072275,1666096,6097,ransom
34472,5714321,3638717,2340483,721478,120974,ransom
222257,34390910,21716707,13970270,4304183,8375,ransom
207258,34538356,21984416,14140554,4352446,83136,ransom
123961,17979381,11272850,7252755,2237558,11050,ransom
193919,32023373,20380550,13108656,4034960,34398,ransom
49236,5516020,3345955,2154009,668558,78770,ransom
274185,45702685,29082723,18706025,5756035,15235,ransom
88774,13736719,8748132,5626778,1734722,134790,ransom
2490468,37745511,22591150,14567005,5308945,12874,ransom
23125,1192859,591705,382689,122995,44647,ransom
152121,21761070,13857237,8908584,2757439,83361,ransom
74283,9708897,6012411,3869174,1196183,53206,ransom
305724,46871167,29829709,19179359,5924554,13003,ransom
109980,18291159,11651575,7494150,2307410,152221,ransom
144822,21193381,13322336,8570758,2643995,4672,ransom
288478,48070858,30598204,19680618,6057048,11969,ransom
95933,15947071,10156233,6532520,2011147,20020,ransom
54363,5325730,3224541,2075193,648425,21735,ransom
73344,9527846,5897146,3795068,1173381,17031,ransom
55777,6640962,4062443,2615010,810195,85952,ransom
78050,10352296,6426268,4135114,1278472,35756,ransom
284663,47450416,30205596,19427270,5979757,10728,ransom
82298,13700342,8732879,5616586,1730116,31702,ransom
114863,16450276,10307437,6631544,2046825,120328,ransom
115856,16361493,10244896,6591373,2034901,4006,ransom
287609,47926325,30508446,19622743,6039097,10926,ransom
36387,6018018,3833340,2465611,759018,144340,ransom
177029,26877972,16939078,10897176,3358726,3634,ransom
356458,59391910,37815897,24323131,7487070,17661,ransom
42197,3827718,2279479,1467710,460101,79113,ransom
254905,42482765,27032197,17387311,5350400,176986,ransom
408155,67993464,43272083,27832799,8565084,77719,ransom
174109,28478191,18122701,11656122,3588591,19759,ransom
67496,8555148,5280882,3398612,1051777,63297,ransom
66439,7973645,4908483,3158885,979271,68206,ransom
352451,58741890,37395588,24052583,7402834,11216,ransom
31389,2528566,1441969,929536,291454,20370,ransom
39158,2398234,1369361,880880,284221,145034,ransom
173410,28877501,18379913,11821826,3637891,4832,ransom
284360,47430226,30196286,19422186,5978694,11258,ransom
60458,10048169,6399833,4116235,1267384,58323,ransom
210427,32410609,20459216,13161578,4055525,13167,ransom
310511,1751887,637280,377351,244228,213522,ransom
1679955,40275741,23970669,15240438,5293158,200611,ransom
1079926,54192305,33721491,21628576,6956202,37629,ransom
244755,2382418,1160429,761764,289829,84897,ransom
871389,37275147,23200140,14906411,4815132,8757,ransom
47900,4399272,2636384,1698183,529635,14513,ransom
31085,2487140,1420361,915510,287658,44514,ransom
452079,14274184,8665195,5610703,1774290,19095,ransom
