c2,c0,729,129,229,ff9a,type
1817818,30436630,15090564,9434978,5649384,587941,ransom
2047668,34131373,16977106,10607035,6361341,559149,ransom
2108355,35215566,17487557,10929545,6550684,603886,ransom
2131119,35696220,17644805,11037978,6599483,561336,ransom
2215736,34905148,16761888,10517128,6236137,678548,ransom
2013916,33748904,16636892,10413654,6215367,467058,ransom
2080774,34684849,17291770,10797886,6486859,517376,ransom
2159073,35991182,17924312,11194791,6721957,510112,ransom
2190094,36652768,18195633,11372027,6817041,495800,ransom
2627207,39861254,18502650,11662913,6830282,559935,ransom
2423892,38536362,18431029,11578536,6843236,613989,ransom
1955221,32547871,16257778,10148680,6102243,575077,ransom
2493167,37830028,17395578,10985235,6402170,583189,ransom
2010941,33487598,16728239,10442612,6278620,575204,ransom
2194730,36676769,18209875,11380994,6821342,565980,ransom
2193717,36671587,18209509,11380559,6821684,553945,ransom
1200957,20095255,9943552,6219372,3719768,188139,ransom
293969,4857836,2446460,1524395,920861,147867,ransom
177184,2942006,1461281,913274,547050,108125,ransom
471214,6526672,3249457,2044431,1194885,351279,ransom
32843066,182541979,87472895,60306872,25157039,970433,ransom
72721560,392747933,166133785,119862260,42373511,1108644,ransom
42224704,229771571,131308469,86780130,42394296,624537,ransom
2418828,15273226,8277882,5320880,2861928,216701,ransom
281358,4684026,2327684,1454776,871435,97091,ransom
311610,4666446,2296824,1431372,862183,142979,ransom
470130,5751288,2232876,1445008,785347,99504,ransom
893834,14747540,7350950,4591569,2754817,732616,ransom
2197706,36748398,18220747,11391183,6821343,716027,ransom
2515880,39958830,19247511,12073343,7164180,686523,ransom
2464318,37230390,18010322,11303811,6690629,489281,ransom
2030927,33919923,16855115,10532534,6315565,542513,ransom
2410532,38266044,18372607,11531824,6832183,550620,ransom
1944775,32592993,16100470,10074301,6019168,492193,ransom
2008214,33437181,16694014,10421866,6265168,490291,ransom
2367815,39598007,19668946,12292675,7368852,471230,ransom
2061501,32405116,15448171,9704546,5736336,524933,ransom
2039321,34036599,16918202,10573688,6336643,517854,ransom
2237135,35344655,16912319,10618405,6285391,589656,ransom
2169911,34245610,16302539,10245257,6048828,501382,ransom
2463130,39143548,18773899,11787095,6978239,551781,ransom
3733791,54451634,24500703,15506727,8980958,889045,ransom
7609697,95897406,39490408,25320619,14138515,1057009,ransom
5041799,64984176,26013815,16738935,9259986,300241,ransom
579601,9238107,4508554,2822493,1683557,206111,ransom
1493262,18382294,7242383,4665206,2569921,162163,ransom
815913,11595717,5120553,3248676,1868737,211085,ransom
318748,5051751,2462493,1547326,912018,343480,ransom
2796648,22399922,10384825,6848440,3476573,201930,ransom
438633,7333964,3643169,2276881,1364767,166783,ransom
827493,11757878,5171257,3283148,1883909,232611,ransom
1669952,14605149,6216874,3848377,2349595,243514,ransom
3131474,22751480,8467161,5357196,3067357,353024,ransom
1226206,14692246,6042481,3889400,2148813,209658,ransom
700904,11729758,5825659,3640877,2182638,165343,ransom
1711682,15710760,6438139,4121730,2280291,339121,ransom
4602610,37676341,15141595,9902310,5173726,187822,ransom
3154414,40045283,15853579,10216480,5625968,893698,ransom
11883467,153032693,61107999,39339499,21729668,1658872,ransom
10531147,150886156,66893852,42416091,24445141,1813464,ransom
7240252,116940027,56774875,35584792,21163407,1815193,ransom
8613035,134082840,63426872,39884521,23515104,1642775,ransom
5729265,91786529,44236697,27755138,16460785,1290311,ransom
4270499,71268163,35462478,22155524,13291993,1208483,ransom
4707165,76773839,37396894,23432956,13947840,857066,ransom
1969352,26226410,11093600,7075997,4008532,344692,ransom
1430366,20290379,8798594,5604152,3189799,260210,ransom
2287907,25366253,10462124,6714242,3733292,321628,ransom
1425428,21839716,10201612,6425444,3771813,248897,ransom
1594756,20815060,8357446,5379078,2972999,308890,ransom
862309,14416712,7145480,4467969,2674657,308080,ransom
2399114,28249005,10230089,6683728,3539422,212509,ransom
1335856,16354237,6230596,4038827,2186889,157318,ransom
2775097,30538861,10021016,6660767,3351936,150663,ransom
3420651,37464955,12186322,8113004,4062963,250854,ransom
3098975,36901724,13374700,8741900,4624031,963880,ransom
20099525,244511743,91483967,59470565,31954784,1985920,ransom
18586806,241913548,97539261,62699924,34787418,2158999,ransom
26316482,310720615,112315908,73400519,38837789,1775253,ransom
17041623,192694110,65483443,43241715,22195298,451038,ransom
3886068,41561351,14064980,9318626,4734748,330942,ransom
2407659,32341034,13481455,8624036,4850085,372039,ransom
3244007,40469639,15582635,10086268,5487178,295392,ransom
2709284,33435892,12756409,8267291,4481244,403880,ransom
1935711,27626718,12110257,7693834,4410203,402985,ransom
2282589,28506944,11238103,7240468,3988163,172755,ransom
3118663,36400363,12854693,8440856,4403627,369842,ransom
3736029,42683289,14741331,9711126,5019497,338607,ransom
3570831,43829323,16704887,10824188,5870613,371265,ransom
2327777,32278240,13878572,8837669,5034465,446621,ransom
1675441,21103495,8882190,5675656,3193886,475916,ransom
4227041,49165539,17375835,11401834,5963420,202992,ransom
3362056,37102301,14228137,9231827,4977867,397809,ransom
4407564,52071104,18791368,12288130,6491405,316604,ransom
3180311,37337904,13311871,8724248,4578055,349992,ransom
2467695,31306276,12351091,7963677,4379611,348415,ransom
5490377,61834234,21004070,13867375,7121060,362863,ransom
4192200,46721763,15493824,10277416,5205657,284485,ransom
1858171,26311082,11615084,7367344,4240883,356796,ransom
2196131,29377200,12237293,7830328,4396298,889165,ransom
18034971,220987670,83135391,54002923,29084814,2113278,ransom
22131313,279430257,109332428,70578989,38688840,2179264,ransom
22932182,284260115,108737181,70448989,38224359,2226483,ransom
18426622,245734239,101666796,65106487,36505813,2262403,ransom
25597954,303017643,109706852,71676124,37962175,1153149,ransom
4085121,48591792,17704159,11561270,6130746,358821,ransom
3357459,38396189,13272687,8741661,4521491,302123,ransom
1760071,23644819,9696700,6223707,3467821,264654,ransom
1413200,21595780,10153336,6386557,3762308,301863,ransom
3433618,43524582,17141363,11053592,6077794,352631,ransom
3677333,41873196,14392057,9487367,4894448,336310,ransom
4566104,52583579,18340285,12059061,6268651,374666,ransom
3469015,40252005,14147312,9293569,4843194,241792,ransom
4613529,51478256,17260149,11423930,5823399,314828,ransom
3696406,44181318,16061201,10494657,5556432,296792,ransom
6345612,68363898,21778796,14540513,7220916,535255,ransom
17804924,189619494,67990239,44659847,23225308,1891131,ransom
30458222,362162234,132172837,86249583,45841260,2341819,ransom
27402929,318848527,112993700,74076636,38836616,1116337,ransom
4521213,51818724,18044436,11866160,6165307,330231,ransom
2144681,25897176,9612808,6262208,3340480,235811,ransom
2171129,28245774,11489112,7373085,4107170,309602,ransom
1376396,18944699,8144375,5188056,2949327,347185,ransom
4383117,53502870,20142823,13081179,7047315,374730,ransom
5084729,57975007,19959654,13152307,6793089,376360,ransom
2143516,23454527,7582328,5051125,2525423,2456,ransom
87043,1463294,727382,454502,272742,67462,ransom
2480616,29447378,10779986,7032329,3738835,380779,ransom
4835838,53200825,17401591,11569508,5818890,257696,ransom
2903740,36724489,14370500,9278745,5083329,355303,ransom
1139504,19064608,9465767,5915762,3546529,310702,ransom
9607110,115663735,42481566,27712554,14739572,1621897,ransom
30674544,357532170,126939948,83190831,43668360,2247267,ransom
27032660,318994344,116094114,75795777,40218504,1216633,ransom
5354696,57562684,18150649,12144896,5991901,317630,ransom
3114703,36263869,12859913,8434583,4415957,302152,ransom
2435644,30816916,12089034,7802729,4278790,366446,ransom
1736159,25154440,11147240,7073523,4068311,355872,ransom
4026165,46401341,17972343,11678244,6273072,400459,ransom
5595201,58253789,18532532,12381570,6126394,542844,ransom
12843347,113042047,37960255,25187024,12609301,376685,ransom
2882988,34426102,12594300,8218741,4367764,321104,ransom
2195299,28813169,11634431,7478891,4147209,379151,ransom
4442275,54621696,20798854,13485005,7300938,504927,ransom
6702889,74544651,24879369,16481426,8378723,356277,ransom
4570500,54081482,19432748,12721404,6695257,1090406,ransom
17474714,222786840,88199830,56822958,31327033,2353685,ransom
25105260,310925168,118815100,76975077,41772870,2231702,ransom
14709960,173635915,62548938,40900463,21608869,470318,ransom
2881502,36349998,14192579,9167086,5017024,366538,ransom
2220018,27614522,11317518,7259302,4045241,306895,ransom
1560702,22189478,9733286,6182353,3546027,298902,ransom
3149084,36727671,13088612,8575561,4502242,368930,ransom
4032913,48497781,17892808,11656927,6225274,317998,ransom
1595135,21998010,9382428,5982008,3395423,486226,ransom
1442024,20071685,8679229,5523743,3149430,261515,ransom
3031142,36819991,13605427,8869543,4725612,422273,ransom
3672799,45602197,17661133,11412812,6238305,300651,ransom
2890167,34031863,13491057,8708096,4769187,314975,ransom
2897221,35833409,13765311,8912216,4843752,339699,ransom
2824613,35348101,13679695,8848220,4823138,409223,ransom
2870832,34902506,13026257,8473265,4544891,325931,ransom
2598461,33525288,13428986,8639746,4781234,312864,ransom
3060610,37349944,14006089,9105126,4891812,435086,ransom
4276931,51688406,19275464,12537288,6725091,386218,ransom
5987565,84312577,36376932,23168596,13189891,1802472,ransom
24065649,300285661,115797376,74902955,40831075,2404003,ransom
26362018,324521384,123141324,79860058,43211203,2331141,ransom
17792302,233012273,94796427,60850811,33889745,1446338,ransom
3595273,49261092,20970997,13370432,7591012,403639,ransom
1268452,19168962,8874182,5595199,3274822,236595,ransom
967360,16150332,8017343,5010585,3002997,302343,ransom
968151,16150717,8020930,5013026,3004241,306755,ransom
2694615,35198502,14212374,9137242,5067210,307166,ransom
2752020,32250804,11576233,7574184,3994961,290705,ransom
2573576,33035078,13192703,8492395,4691401,567341,ransom
3891730,33655113,15708103,10058101,5585921,333436,ransom
1948668,24689088,11648243,7251778,4385376,322169,ransom
3134664,36119949,13458935,8725231,4721987,336344,ransom
1749043,24960545,11172938,7071614,4093933,381530,ransom
1544768,21716007,9501041,6037832,3457465,230838,ransom
4995262,57872303,20385558,13383701,6988157,426833,ransom
3249679,36501917,12343669,8160638,4173239,329313,ransom
2269708,28082828,10722471,6949092,3766895,243115,ransom
3838521,44158767,15454391,10154304,5288394,301377,ransom
3197383,37943379,13720055,8969454,4742445,249841,ransom
4481174,51187793,17694141,11653433,6028223,314914,ransom
2407480,30457022,11843745,7657467,4178878,285448,ransom
4405080,49980365,17067523,11265127,5789553,409486,ransom
4527468,51939970,18149456,11927968,6209073,282254,ransom
3257900,33031971,10728331,7155145,3557193,175516,ransom
2757832,31391717,10765683,7100454,3658117,174164,ransom
1905804,21993696,7703369,5062332,2635538,215405,ransom
7659360,93210569,34896577,22680412,12193370,1389841,ransom
24092429,283585630,101864361,66643903,35156562,1905306,ransom
27110934,321158826,116170720,75918973,40178558,2036816,ransom
17917749,228075026,89841977,57946637,31840034,2021389,ransom
17831661,235374438,96334087,61785083,34497871,1971501,ransom
13583204,181464283,75417255,48251462,27127838,2050377,ransom
13686118,187110506,79407092,50663293,28698382,1568545,ransom
4413872,60674888,26703269,16981962,9709387,342150,ransom
2390733,30010158,11758119,7586906,4163809,243759,ransom
2652835,32609801,12261126,7969098,4284371,409129,ransom
3161725,31199888,12696353,7996982,4672679,372934,ransom
4748039,46874075,17828183,11412974,6383860,319695,ransom
3941537,43511769,15162517,9981454,5166308,402617,ransom
4182050,48031339,16689782,10981709,5696109,460515,ransom
1777854,18844018,8624487,5441968,3147193,301810,ransom
1052171,17598619,8736543,5460146,3273018,155623,ransom
788752,13200404,6551679,4094659,2454526,357370,ransom
3634030,41343506,14925256,9760949,5146811,254297,ransom
4223314,46923313,15575413,10330535,5232806,284697,ransom
1906203,23953355,9322027,6024794,3291017,454217,ransom
962846,16123502,8006680,5004163,2999721,234074,ransom
2288453,28373533,10872777,7042644,3823307,257239,ransom
1511218,20908269,9092664,5783727,3302710,259345,ransom
901644,13052090,5838753,3698559,2136948,340094,ransom
1063562,17647728,8758140,5474481,3279627,285540,ransom
2630069,34123972,13736942,8831931,4896826,282305,ransom
2254274,27723568,10557769,6846090,3704314,332517,ransom
2568609,33254589,13354174,8587962,4758031,512585,ransom
7229282,94518283,38361437,24632786,13706247,1613208,ransom
22236431,273960650,103762071,67338885,36358011,1992099,ransom
17310327,225954435,91731505,58888354,32792869,1919208,ransom
19471994,244126609,94647024,61191040,33403360,2016277,ransom
24750851,296439127,109126204,71124226,37926835,1876502,ransom
9677151,124641528,49818203,32055139,17739608,414914,ransom
3233797,39109141,14720698,9556087,5153449,288188,ransom
2493108,30781358,11640817,7557819,4076755,254725,ransom
1951334,24709980,9700415,6260917,3433207,217338,ransom
709529,11883033,5851348,3663615,2185036,263469,ransom
2113731,27315943,11055543,7100104,3948369,374798,ransom
1408547,19585905,8441299,5375348,3061379,274122,ransom
1196890,16010030,6672824,4269869,2398768,193521,ransom
983922,14492883,6557261,4147815,2406033,190948,ransom
1172799,15650064,6491561,4155942,2331887,221389,ransom
3410557,25656332,11678174,7548377,4066775,184469,ransom
1063275,17590834,8818120,5500537,3312975,818229,ransom
6674729,97444749,43943571,27805526,16112278,1214922,ransom
4413585,73492976,36528789,22824133,13687187,973714,ransom
4060463,67886742,33641713,21037668,12589241,1101687,ransom
12162463,152207862,58818513,38050546,20733850,1082514,ransom
3970008,64199474,31318790,19613650,11690263,868471,ransom
3904930,49226948,19384345,12499241,6872289,347102,ransom
2189738,26679405,10041094,6523020,3511109,272169,ransom
3370054,38129459,13401364,8793070,4595037,228445,ransom
3053555,34502820,11636082,7698532,3929280,245796,ransom
2330975,27005170,9601574,6291030,3303630,262224,ransom
875562,14660195,7282472,4551038,2728897,342193,ransom
1277954,17402074,7357171,4696913,2655823,246391,ransom
1383003,19129058,8214243,5233168,2976095,256792,ransom
910940,13697586,6771702,4235644,2531568,189223,ransom
2267323,26036006,9071851,5966623,3097911,229225,ransom
3637440,43175216,15601429,10200908,5390877,728876,ransom
18394576,207488954,70380716,46490610,23836671,1437538,ransom
13149427,173968066,71275078,45709615,25527933,1623519,ransom
9936826,141084928,61985026,39352916,22599330,1483090,ransom
5541970,89870444,43760144,27415446,16325444,1233574,ransom
3952459,66034035,32806550,20502021,12291411,629682,ransom
569993,9615247,4724047,2958873,1763695,231502,ransom
850520,10685735,5211047,3286699,1920765,161006,ransom
551375,8929593,4477410,2792333,1681636,198485,ransom
441788,7348990,3652348,2282746,1367657,196749,ransom
523738,8787021,4365068,2728032,1635754,323963,ransom
617527,10284863,5108750,3192825,1913204,147424,ransom
423079,6581124,3169681,1987582,1178420,115378,ransom
417810,6896060,3504273,2179628,1323415,121463,ransom
525855,8797913,4369801,2731099,1637073,319094,ransom
439547,7338249,3644064,2277602,1364754,148777,ransom
525578,8796513,4368070,2729931,1636550,230651,ransom
667461,9503014,4886143,3044062,1833368,168057,ransom
352479,5874845,2919432,1824694,1093131,155206,ransom
1420871,23914172,11723032,7346184,4371659,933931,ransom
5234092,81241308,38527447,24212809,14295587,1221845,ransom
6051417,91291950,42125554,26576337,15527272,1188346,ransom
4626415,77174503,38407876,23994448,14398383,1177110,ransom
4651467,77748064,38619888,24136152,14468241,1157732,ransom
5839245,91631764,43571606,27376458,16174160,1256042,ransom
5802698,89292178,41752652,26298390,15436374,1279064,ransom
7658698,112023386,50609603,32015025,18566279,1385386,ransom
8187013,113132755,48491645,30899064,17564098,1103112,ransom
4185321,54324777,21851504,14052168,7788333,369073,ransom
1428235,19924444,8614683,5483195,3127064,222404,ransom
936852,13697940,6152529,3896178,2252801,263091,ransom
